signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1944 B 17,"[Süssmayr], Jos[ef]",,Vorfrühling am See,,Farb. Offsetdruck,Eßlingen,Kunstverlag Fingerle,1944,635 x 495,455 x 350,,6.- DM (BRD),Jahreszeiten ; Frühling,,
Kbl 1965 B 21,"Szönyi, István",,Blühende Bäume,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1964,605 x 795,485 x 695,"Gradus-Blätter, G 3267",24.- DM (DDR),Jahreszeiten ; Frühling,,
Kbl 1956 C 46,"Szpinger, Alexander von",119106361,Frühling,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1956,625 x 755,473 x 600,,20.- DM (DDR),Jahreszeiten ; Frühling,,
Kbl 1951 B 47,"Thoma, Hans",118622064,Frühling,,Mehrfarb. Lichtdruck,München,Bruckmann,1950,395 x 560,265 x 420,,12.- DM (BRD),Jahreszeiten ; Frühling,,
Kbl 1955 A 50,"Thoma, Hans",118622064,Frühlingsidyll,,Mehrfarb. Autotypie,Leipzig,Seemann,1955,225 x 240,187 x 217,,"1,50 DM (DDR)",Jahreszeiten ; Frühling,[Neudruck],
Kbl 1964 C 20,"Ulbricht, Heinrich R[udolf]",,Frühlung am Müggelsee,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1964,570 x 730,450 x 630,"Gradus-Blätter, G 3203",,Jahreszeiten ; Frühling,,
Kbl 1956 C 49,"Waldmüller, F[erdinand] G[eorg]",118628674,Vorfrühling im Wienerwald,,Mehrfarb. Lichtdruck,[Wien],Österreichische Staatsdruckerei,1955,620 x 740,510 x 625,,S 50.-,Jahreszeiten ; Frühling,,
Kbl 1958 C 11,"Waldmüller, F[erdinand] G[eorg]",118628674,Vorfrühling im Wiener Wald,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1957,540 x 628,400 x 500,,20.- DM (DDR),Jahreszeiten ; Frühling,,
Kbl 1961 A 183,"Waldmüller, F[erdinand] G[eorg]",118628674,Vorfrühling im Wiener Wald,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,220 x 300,180 x 225,,"1,50 DM (DDR)",Jahreszeiten ; Frühling,Wald,
Kbl 1983 A 55,"Wegener, W. ",,"Frühling auf dem Lande, um 1830",,"Einfarb. Offsetdruck, handkoloriert",Leipzig,Verlag für die Frau,1983,200 x 290,145 x 210,,19.- DM (DDR),Jahreszeiten ; Frühling,,
Kbl 1963 A 24,"Weiss, Wojciech",119540681,Frühling des Jahres 1945,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,220 x 300,150 x 238,,"1,50 DM (DDR)",Jahreszeiten ; Frühling,bäuerl. Motive,
Kbl 1955 C 376,Yos,,Frühling im Buchenwald,,Mehrfarb. Tiefdruck,München,Bruckmann,1955,680 x 855,600 x 795,,30.- DM (BRD),Jahreszeiten ; Frühling,,
Kbl 1955 C 384,Yos,,Vorfrühling am Ammersee,,Mehrfarb. Tiefdruck,München,Bruckmann,1955,680 x 855,600 x 800,,30.- DM (BRD),Jahreszeiten ; Frühling,,
Kbl 1949 B 275,"Zimmermann, Bodo",123002125,"Gewitter am Main, Escherndorf",,Holzschnitt,[Kassel],[Bärenreiter-Verlag],1948,230 x 338,170 x 238,"Bärenreiter-Einblattdruck, Nr 371",3.- RM,Jahreszeiten ; Frühling,,
Kbl 1958 C 55,"Adrion, Lucien",13012608X,Sonniger Tag,,Mehrfarb. Lichtdruck,München,Bruckmann,1957,655 x 860,500 x 600,,30.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1953 A 306,"Alberts, Jacob",116279141,Sommertag in Westerhever,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,230 x 250,195 x 230,"Meister der Farbe, 8067","1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1953 A 310,"Alberts, Jacob",116279141,Sommertag in Westerhever,,Mehrfarb. Autotypie,Leipzig,Seemann,1953,230 x 250,195 x 230,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1958 C 124,"Beckmann, [Max]",118508210,Sommertag,,Mehrfarb. Lichtdruck,München,Piperdrucke,1950,545 x 997,578 x 850,"[Piperdruck, Nr 103]",70.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1957 B 23,"Brauer, Johannes",1057113778,Sommer,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1956,400 x 280,195 x 145,,7.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1962 A 31,"Brauer, Johannes",1057113778,Sommer,,Original-Dreiplattenfarbholzschnitt,Leipzig,Scholle-Verlag,1962,330 x 250,200 x 150,,14.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1973 C 52,"Bruegel d. Ä., Pieter",118674013,Der Sommer,,Mehrfarb. Lichtdruck,München,Piperdrucke,o. J.,680 x 880,550 x 760,"[Piperdruck, Nr 65]",55.-,Jahreszeiten ; Sommer,,
Kbl 1985 A 37,"Buttersack, Bernhard",117185914,Hochsommer,,Mehrfarb. Autotypie,Leipzig,Seemann,1985,300 x 215,235 x 190,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1959 A 245,"Damerius, Walter",,Sommertag,,Mehrfarb. Autotypie,Leipzig,Seemann,1959,218 x 300,175 x 232,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1944 A 84,"Dörr, P[aul]",1068045337,Dommertag,nach e. Orig.-Aquarell,Farb. Offsetdruck,Eßlingen,Kunstverlag Fingerle,1944,315 x 250,300 x 240,,"1,75 DM (BRD)",Jahreszeiten ; Sommer,,
Kbl 1954 A 50,"Engel, Otto H[einrich]",118932748,Sommerabend auf Föhr,,Mehrfarb. Autotypie,Leipzig,Seemann,1954,225 x 235,195 x 215,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1959 A 158,"Everdingen, Allart van",12091008X,Sommerlandschaft,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1959,217 x 300,95 x 130,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1971 C 291,"Franke, Hanny",116714441,Reife Garben,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o. J.,645 x 995,530 x 895,,50.-,Jahreszeiten ; Sommer,,
Kbl 1989 A 14,"Friedrich, Caspar David",118535889,Der Sommer,,Mehrfarb. Autotypie,Leipzig,Seemann,1987,220 x 300,175 x 260,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1974 C 14,"[Friedrich, Caspar David]",118535889,Sommerlandschaft,,Mehrfarb. Lichtdruck,München,Bruckmann,o. J.,715 x 990,600 x 890,,50.-,Jahreszeiten ; Sommer,,
Kbl 1955 C 381,"Frommhold, Ernst",,Ein Sommertag,,Mehrfarb. Tiefdruck,München,Bruckmann,1955,675 x 850,600 x 795,,30.- DM (BRD),Jahreszeiten ; Sommer,,
Kbl 1962 C 4,"Gogh, Vincent van",118540416,Das gelbe Ährenfeld mit Zypressen,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1962,470 x 560,390 x 500,,10.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1952 C 25,"Gogh, Vincent van",118540416,Die Lerche,,Mehrfarb. Autotypie,Leipzig,Seemann,1952,490 x 570,410 x 497,,"7,50 DM (DDR)",Jahreszeiten ; Sommer,[Neudruck],
Kbl 1958 A 29,"Gogh, Vincent van",118540416,Die Lerche,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,222 x 245,187 x 245,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,[neudruck],
Kbl 1953 A 182,"Gogh, Vincent van",118540416,Sommerabend bei Arles,,Mehrfarb. Autotypie,Zürich,Rascher,1950,260 x 300,210 x 265,,"sfr 3,50",Jahreszeiten ; Sommer,,
Kbl 1948 B 70,"Graul, Ernst Richard",1187866113,Sommermorgen im Südharz,,8 Farben-Faks.-Lichtdruck,Leipzig,Seemann,1948,497 x 412,481 x 382,,20.- RM,Jahreszeiten ; Sommer,,
Kbl 1958 B 33,"Gruner, Erich",119252686,Schwalbensommer,,Orig.-Radierung,"[Leipzig N 22, Hoeppnerstr. 20]",Gruner,1947,325 x 410,120 x 150,,10.- RM,Jahreszeiten ; Sommer,,
Kbl 1955 C 355,"Halberg-Krauss, Fritz",119403579,Summer Day [Ernte am Starnberger See],,Mehrfarb. Lichtdruck,München,Hanfstaengl,1955,670 x 880,570 x 800,,45.- DM (BRD),Jahreszeiten ; Sommer,,
Kbl 1944 A 69,"Herzing, Minni",127526196,Sommer,,Orig.-Radierung,"[Berlin, z. Zt. Chemnitz]",Daco-Verlag,1944,305 x 395,170 x 240,,20.- RM,Jahreszeiten ; Sommer,,
Kbl 1959 C 64,"Heckel, Erich",118547488,Ballspielende,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1958,730 x 860,605 x 755,,60.- DM (BRD),Jahreszeiten ; Sommer,,
Kbl 1944 A 67,"Herzing, Minni",127526196,Sommertag,,Orig.-Radierung,"[Berlin, z. Zt. Chemnitz]",Daco-Verlag,1944,355 x 290,195 x 175,,20.- RM,Jahreszeiten ; Sommer,,
Kbl 1950 C 2,"Hoffmann, Eugen",118705865,Spätsommer,,Mehrfarb. Lichtdruck,Dresden,Sachsenverlag,1950,588 x 490,470 x 355,,12.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1982 B 5,"Hückstädt, Eberhard",119380366,Sommer,,Mehrfarb. Autotypie,Leipzig,Seemann,1981,470 x 485,370 x 405,,"7,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1948 B 195,"Jansen, F. M.",,[Sommerlandschaft],,Orig.-Holzschnitt,Altenburg/Th.,Graphik-Verlag,1948,480 x 340,358 x 240,,20.- RM,Jahreszeiten ; Sommer,,
Kbl 1971 C 259,"Junghanns, Julius Paul",119290677,[Sommerabend],,Mehrfarb. Lichtdruck,München,Hanfstaengl,o. J.,800 x 895,695 x 795,,55.-,Jahreszeiten ; Sommer,,
Kbl 1954 A 29,"Kayer-Eichberg, Carl",,Im Spätsommer,,Mehrfarb. Autotypie,Leipzig,Seemann,1954,220 x 255,185 x 235,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1944 C 75,"Klarl, Jos[ef]",119126028,Sommer,,Farb. Offsetdruck,Hamburg-Blankensee,Jacob,1943,1020 x 780,820 x 700,,20.- RM,Jahreszeiten ; Sommer,,
Kbl 1944 C 43,"Kopp, Walter",124448313,Sommertag,,Farb. Kupfertiefdruck,München,F. Bruckmann,1944,1015 x 745,930 x 650,,"22,50 RM",Jahreszeiten ; Sommer,,
Kbl 1960 A 103,"Modersohn, Otto",118582925,Spätsommer im Moor,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,215 x 300,155 x 250,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1952 C 77,"Pilch, Adalbert",118742531,Sommer,,Mehrfarb. Offsetdruck,Wien,Verlag für Jugend und Volk,1952,685 x 930,660 x 910,,"S 30.-; 6,50",Jahreszeiten ; Sommer,,
Kbl 1955 C 383,"Pippel, Otto",,Sommer in den Bergen,,Mehrfarb. Lichtdruck,[München],Bruckmann,1954,985 x 715,800 x 635,,40.- DM (BRD),Jahreszeiten ; Sommer,,
Kbl 1956 C 167,"Richter, [Adrian] Ludwig",118600486,Junilandschaft mit dem Regenbogen,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1956,710 x 1050,600 x 950,"Dresdner Meisterdrucke, M 1114",28.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1957 A 182,"Richter, [Adrian] Ludwig",118600486,Kinderlust,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,190 x 260,153 x 241,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1957 A 217,"Richter, [Adrian] Ludwig",118600486,Sommerszeit,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,170 x 203,128 x 172,,"1,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1957 C 76,"Salzmann, Hans",,Sommermorgen,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1957,580 x 725,458 x 625,"Gradus-Blätter, G 3145",23.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1949 A 174,"Scherzer, C[arl]",,Sommerfrieden,,Handkol. Strichätzung,[Leipzig],[Bildkunst Die Wölfe],1949,168 x 230,120 x 155,,"0,50 DM (DDR)",Jahreszeiten ; Sommer,,
Kbl 1949 A 43,"Scherzer, C.",,Sommerfrieden,,Strichätzung nach e. Federzeichnung,[Leipzig],[Bildkunst Die Wölfe],1947,170 x 226,120 x 155,,,Jahreszeiten ; Sommer,wird nur gerahmt verkauft,
Kbl 1955 C 249,"Thoma, Hans",118622064,Sommer im Schwarzwald,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1955,875 x 720,770 x 620,"Dresdner Meisterdrucke, M 1093",25.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1949 B 221,"Vegesack, Rupprecht von",,Sommer auf Hiddensee,,Mehrfarb. Lichtdruck,Dresden,Sachsenverlag,1949,640 x 500,570 x 400,,22.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1973 C 147,"Watteau, [Jean-Antoine]",118629492,Im Sommer,,Mehrfarb. Lichtdruck,München,Piperdrucke,o. J.,510 x 415,390 x 310,"[Piperdruck, Nr 81]",40.-,Jahreszeiten ; Sommer,,
Kbl 1983 A 54,"Wegener, W. ",,"Sommer auf dem Lande, um 1830",,"Einfarb. Offsetdruck, handkoloriert",Leipzig,Verlag für die Frau,1983,200 x 290,145 x 210,,19.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 70 C 69,"Wilhelm, Paul",,Spätsommermorgen,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1970,445 x 795,390 x 575,"Gradus-Blätter, G 3323",20.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1964 C 21,"Womacka, Walter",118635123,Sommer,,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],560 x 750,560 x 750,445 x 650,"Gradus-Blätter, G 3265",,Jahreszeiten ; Sommer,,
Kbl 1955 C 385,Yos,,Sommer am Simssee,,Mehrfarb. Tiefdruck,München,Bruckmann,1955,680 x 855,600 x 800,,30.- DM (DDR),Jahreszeiten ; Sommer,,
Kbl 1961 C 143,"Betz, Andreas",,Herbst amm Seehamer See,,Mehrfarb. Tiefdruck,München,Bruckmann,1961,610 x 860,500 x 620,,25.- DM (BRD),Jahreszeiten ; Herbst,,
Kbl 1955 C 12,"Bokschai, J. J.",,Herbst,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1954,600 x 830,510 x 750,"Gradus-Blätter, G 3055",25.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1962 C 90,"Brauer, Johannes",1057113778,Herbst,,Orig.-Achtfarben-Radierung,Leipzig,Scholle-Verlag,1962,420 x 600,220 x 315,,85.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1963 A 4,"Brauer, Johannes",1057113778,Herbstromantik,,Orig.-Dreiplattenfarbholzschnitt,Leipzig,Scholle-Verlag,1962,430 x 280,190 x 90,,22.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1973 C 62,"Bruegel d. Ä., Pieter",118674013,Der Herbst,,Mehrfarb. Lichtdruck,München,Piperdrucke,o. J.,655 x 840,540 x 740,"[Piperdruck, Nr 24]",55.-,Jahreszeiten ; Herbst,,
Kbl 1973 C 143,"Bruegel d. Ä., Pieter",118674013,Die Heuernte,,Mehrfarb. Lichtdruck,München,Piperdrucke,o. J.,650 x 865,550 x 750,"[Piperdruck, Nr 94]",55.-,Jahreszeiten ; Herbst,,
Kbl 1958 A 330,"Buchholz, Karl",,Herbsttag,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,223 x 263,182 x 235,,"1,50 DM (DDR)",Jahreszeiten ; Herbst,[Neudruck],
Kbl 1958 A 331,"Büchtger, Robert",,Herbst am See,,Mehrfarb. Autotypie,Leipzig,Seemann,1958,230 x 260,190 x 230,,"1,50 DM (DDR)",Jahreszeiten ; Herbst,[Neudruck],
Kbl 1953 B 106,"[Del] Cossa, Francesco",118676997,Allegorie des Herbstes,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1953,505 x 350,400 x 250,"Dresdner Meisterdrucke, M 1044",22.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1947 B 140,"Luckner, Heinrich Graf",,Der Herbst,,Zeichnung,Potsdam,Stichnote,1946,310 x 475,255 x 370,,9.- RM,Jahreszeiten ; Herbst,,
Kbl 1944 A 191,"Clarenbach, Max",119116936,Mein Dorf im Herbst,,Vierfarbendruck,München,Hirmer,1944,315 x 245,300 x 205,"Hirmer-Druck, Nr 4445",2.- RM,Jahreszeiten ; Herbst,,
Kbl 1944 C 66,"Clarenbach, Max",119116936,Herbstabend am Starnberger See,,Farbenlichtdruck,München,Hirmer,1944,850 x 765,755 x 670,"Hirmer-Druck, Nr 925",28.- RM,Jahreszeiten ; Herbst,,
Kbl 1944 C 68,"Clarenbach, Max",119116936,Herbsttag,,Farbenlichtdruck,München,Hirmer,1944,900 x 770,800 x 645,"Hirmer-Druck, Nr 923",28.- RM,Jahreszeiten ; Herbst,,
Kbl 1956 C 149,"Felixmüller, Conrad",118532391,Im Herbst,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1956,590 x 780,500 x 700,"Gradus-Blätter, G 3105",25.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1987 C 17,"Fensch, Angela",,Windsbräute,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1987,810 x 580,,,3.- DM,Jahreszeiten ; Herbst,,
Kbl 1960 A 201,"Gruner, Erich",119252686,Herbsttag im Spreewald,,Orig.-Radierung,"[Leipzig N 22, Hoeppnerstr. 20]",Gruner,1960,175 x 240,90 x 145,,15.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1958 A 236,"Gruner, Erich",119252686,Oktober [Glückwunschkarte],,Orig.-Radierung,"[Leipzig N 22, Hoeppnerstr. 20]",Gruner,1954,118 x 134,95 x 95,,1.- DM (DDR),Jahreszeiten ; Herbst,Sc.: Eugen Schmidt,
Kbl 1958 A 235,"Gruner, Erich",119252686,September [Glückwunschkarte,,Orig.-Radierung,"[Leipzig N 22, Hoeppnerstr. 20]",Gruner,1954,118 x 134,90 x 95,,1.-DM,Jahreszeiten ; Herbst,Sc.: Eugen Schmidt,
Kbl 1953 B 28,"Hodler, Ferdinand",118551817,Herbstabend,,Mehrfarb. Steindruck,Zürich,Rascher,1941,365  450,260 x 388,,"sfr 12,50",Jahreszeiten ; Herbst,,
Kbl 1953 A 236,"Hodler, Ferdinand",118551817,Herbstabend,,Mehrfarb. Autotypie,Zürich,Rascher,1950,230 x 265,158 x 210,,sfr 2.-,Jahreszeiten ; Herbst,,
Kbl 1953 A 237,"Hodler, Ferdinand",118551817,Herbstabend,,Mehrfarb. Autotypie,Zürich,Rascher,1950,235 x 320,170 x 220,,sfr 2.-,Jahreszeiten ; Herbst,,
Kbl 1982 B 6,"Hückstädt, Eberhard",119380366,Herbst,,Mehrfarb. Autotypie,Leipzig,Seemann,1981,470 x 485,370 x 405,,"7,50 DM (DDR)",Jahreszeiten ; Herbst,,
Kbl 1961 B 51,"Ilgenfritz, H[einrich]",121021629,Herbst,,Radierung,"[Leipzig C 1, Paul-Gruner-Straße 64]",[Ilgenfritz],1947,400 x 550,240 x 270,,40.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1955 C 196,"Judersleben, Georg",,Novemberwald,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1954,740 x 835,645 x 760,"Gradus-Blätter, G 3067",32.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1989 C 17-2,"Knöpfer, Otto",118563785,Spätherbst,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1989,480 x 640,410 x 467,,,Jahreszeiten ; Herbst,"(Reproduktionen für die Kunsterziehung, T 8)",
Kbl 1951 C 36,"Kopp, Walter",,[Herbstwald],,Mehrfarb. Autotypie,München,Bruckmann,1950,730 x 600,590 x 470,,10.- DM (BRD),Jahreszeiten ; Herbst,,
Kbl 1987 C 37,"Krammisch, Wolfgang",,Herbstwald,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1986,570 x 810,550 x 810,,5.- DM,Jahreszeiten ; Herbst,,
Kbl 1990 C 47,"Krammisch, Wolfgang",,Herbststille,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1986,570 x 805,,,5.-,Jahreszeiten ; Herbst,,
Kbl 1949 B 8,"Krebs, C.",,Herbst im Land,,Vierfarbendruck,Dresden,Römer,1946,450 x 350,398 x 299,,3.- RM,Jahreszeiten ; Herbst,,
Kbl 1964 C 46,"Lewitan, Isaak Iljitsch",118640518,Goldener Herbst,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1964,520 x 720,400 x 620,"Dresdner Meisterdruck, M 1188",20.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1955 C 333,"Lewitan, Isaak Iljitsch",118640518,Herbst am Fluß Ista,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1955,690 x 975,600 x 900,"Dresdner Meisterdrucke, M 1108","22,80 DM (DDR)",Jahreszeiten ; Herbst,,
Kbl 1948 B 160,"Pausinger, Franz",,Zur Herbstzeit im Walde,,Vierfarbendruck,Leipzig,Finking,1946,321 x 420,231 x 293,Heimatbilder,2.- RM,Jahreszeiten ; Herbst,,
Kbl 1990 C 74,"Pissarro, Camille",118594672,Raureif bei Eragny,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1990,520 x 600,400 x 510,"Dresdner Meisterdruck, M 1504",Preis nicht mitgeteilt,Jahreszeiten ; Herbst,,
Kbl 1952 C 76,"Pilch, Adalbert",118742531,Herbst,,Mehrfarb. Offsetdruck,Wien,Verlag für Jugend und Volk,1952,685 x 930,660 x 910,,"S 30.-; 6,50",Jahreszeiten ; Herbst,,
Kbl 1956 C 220,"Pippel, Otto",,Herbst,,Mehrfarb. Autotypie,München,Hanfstaengl,1956,650 x 500,530 x 420,,10.- DM (BRD),Jahreszeiten ; Herbst,,
Kbl 1949 C 28,"Schaette, C.",1193934060,Sonniger Herbsttag,,Mehrfarb. Lichtdruck nach e. Gemälde,Leipzig,Meissner & Buch,1949,595 x 655,475 x 540,,15.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1953 B 31,"Nerlinger, Oskar",118785923,Herbstwald an der Ostsee,,Lichtdruck nach e. Sepiazeichnung,Weimar,"Thüringer Volksverl., [Abt.] Grafik-Verlag",1953,405 x 585,310 x 490,,6.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1955 C 250,"Polenow, W. D. ",118866621,Goldener Herbst,,Mehrfarb. Lichtdruck,[Dresden],Verlag der Kunst,1955,465 x 780,375 x 700,"Dresdner Meisterdrucke, M 1104",25.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1974 C 16,"Schmidt-Rottluff, Karl",118759795,Herbstlandschaft,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1973,710 x 750,595 x 645,"Gradus-Blätter, G 3372",26.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1953 A 100,"Schultze-Jasmer, Th[eodor]",119297183,[Herbst am Darß-Strand],,Orig.-Radierung mit Aquatinta,[Prerow/Darß],Th. Schultze-Jasmer,1952,295 x 420,170 x 230,Nr 120,15.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1953 A 115,"Schultze-Jasmer, Th[eodor]",119297183,[Herbstabend],,Orig.-Radierung,[Prerow/Darß],Th. Schultze-Jasmer,1952,220 x 280,130 x 160,Nr 53,10.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1983 A 61,"Uhde, Fritz von",118816632,Im Herbst,,Mehrfarb. Autotypie,Leipzig,Seemann,1983,215 x 300,180 x 235,,"1,50 DM (DDR)",Jahreszeiten ; Herbst,,
Kbl 1983 A 52,"Wegener, W. ",,"Herbst auf dem Lande, um 1830",,"Einfarb. Offsetdruck, handkoloriert",Leipzig,Verlag für die Frau,1983,200 x 290,145 x 210,,19.- DM (DDR),Jahreszeiten ; Herbst,,
Kbl 1944 B 53,"Weisz, Josef",118630628,Später Herbsttag im Isartal,,Farb. Faks.-Tiefdruck nach e. Silberstiftzeichnung,München,Hirmer,1943,620 x 480,400 x 320,"Hirmer-Druck, Nr 556",6.- RM,Jahreszeiten ; Herbst,,
Kbl 1950 A 40,"Balwé, Arnold",117765910,Erntewagen,,Vierfarb. Autotypie,[Dietmannsried/Allgäu],Rau,1948,348 x 248,279 x  168,,1.- RM,Jahreszeiten ; Ernte,,
Kbl 1951 B 79,"B[auer-]P[ezellen, Tina]",11882547X,[Im Erntefeld],,Kol. Orig.-Lithographie,[Erfurt],[Grafik-Verlag],1951,400 x 500,,,6.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1962 C 1,"Brauer, Johannes",1057113778,Ernte,,Orig.-Radierung,Leipzig,Scholle-Verlag,1961,420 x 600,235 x 320,,40.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1957 B 30,"Brauer, Johannes",1057113778,Getreideernte,,Orig.-Radierung,Leipzig,Scholle-Verlag,1956,355 x 510,183 x 238,,32.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1961 A 14,"Brendel, Günther",142946710,Weinlese,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,220 x 300,140 x 240,,"1,50 DM (DDR)",Jahreszeiten ; Ernte,,
Kbl 1953 B 69,"Breu d. Ä., Jörg",118515195,Ernte,,Lichtdruck nach e. Zeichnung,Weimar,"Thüringer Volksverl., [Abt.] Grafik-Verlag",1953,500 x 400,260 x 257,,4.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1971 C 80,"Burckhardt, Johannes",,Erntelandschaft,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1971,440 x 950,350 x 370,,10.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1961 A 141,"Fraas, Erich",,Ernte,,Mehrfarb. Autotypie,Leipzig,Seemann,1961,300 x 220,218 x 180,,"1,50 DM (DDR)",Jahreszeiten ; Ernte,,
Kbl 1951  C 6,"Fraaß, E[rich]",,Heimkehr,,Mehrfarb. Lichtdruck,[Dresden],Maecenas,1950,955 x 870,850 x 740,,25.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1960 A 1,"Friedrich, Caspar David",118535889,Rast bei der Heuernte,,Mehrfarb. Autotypie,Leipzig,Verlag Meister der Farbe [jetzt: Seemann],1943,185 x 225,143 x 203,Meister der Farbe [Kbl Nr] 8262,"1,50 RM",Jahreszeiten ; Ernte,,
Kbl 1948 B 182,"Fritsch, E[rnst]",,[Erntefelder],,Orig.-Radierung,Altenburg/Th.,Graphik-Verlag,1947,420 x 295,267 x 205,,36.- DM (DDR); Vorzugsdruck 60.- DM (DDR),Jahreszeiten ; Ernte,,
Kbl 1952 C 70,Gaál. Ferenc,,Maisernte,,Mehrfarb. Offsetdruck,Dresden,Bunkowsky,1952,725 x 705,570 x 570,,Preis nicht mitgeteilt,Jahreszeiten ; Ernte,,
Kbl 1952 B 71,Gaál. Ferenc,,Maisernte,,Mehrfarb. Offsetdruck,[Dresden],[Bunkowsky],1952,475 x 455,365 x 365,,Preis nicht mitgeteilt,Jahreszeiten ; Ernte,,
