signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1960 A 53,"Klee, Paul",118462827,Fischzauber (Großes Fischbild 1925),,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1956,212 x 300,175 x 225,,2.- DM (BRD),Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 54,"Klee, Paul",118462827,Diana,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,233 x 175,,2.- DM (BRD),Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 55,"Klee, Paul",118462827,Paukenspieler,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,255 x 160,,2.- DM (BRD),Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 56,"Klee, Paul",118462827,Zweihügel-Stadt,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,210 x 300,150 x 235,,2.- DM (BRD),Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 57,"Klee, Paul",118462827,Warnung der Schiffe,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1955,305 x 215,270 x 183,,2.- DM (BRD),Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 58,"[Feininger, Lyonel]",118532308,[Domchor zu Halle],,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1959,270 x 215,,,"2,50 DM (BRD)","Bauliche Motive, Kirchen, Kapellen",,Autotypie,!041205650!,41437233,,,,
Kbl 1960 A 59,"[Kirchner, Ernst Ludwig]",118562398,[Selbstbildnis mit Modell],,Mehrfarb. Autotypie,[Eßlingen a. N.],[Fingerle & Co],1959,270 x 175,,,"2,50 DM (BRD)",Benannte Bildnisse ; K,,Autotypie,,41437233,,,,
Kbl 1960 A 6,"Gruner, Erich",119252686,"[Herstellung von Handblütenpapier], Schöpfen der Bogen","Blatt 3 der Folge ""Papierer""",Orig.-Radierung,[Leipzig],[Sieler & Vogel],1958,105 x 135,70 x 85,,Handdrucke: 20.- DM (DDR); Auflagendrucke: 5.- DM (DDR),Ständebilder,,Radierung,,40481662,,,,
Kbl 1960 A 60,"Klee, Paul",118462827,Revolution des Viadukts,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1959,265 x 220,,,"2,50 DM (BRD)",Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 61,"[Marc, Franz]",11857745X,[Der Affenfries],,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co,1959,150 x 270,,,"2,50","Tierbilder, Affen",[Best.Nr MM 204],Autotypie,!042174120!,41437233,,,,
Kbl 1960 A 62,"Winter, Fritz",118638821,[Vor den Feuern],,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1959,160 x 270,,,"2,50 DM (BRD)",Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 63,"[Picasso, Pablo]",118594206,[Femme Turc],,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1959,268 x 210,,,"2,50 DM (BRD)",Abstrakte Malerei,,Autotypie,!1083270532!,41437233,,,,
Kbl 1960 A 64,"Picasso, Pablo",118594206,Madame Z,,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1956,350 x 300,270  x 220,,3.- DM (BRD),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1960 A 65,"Utrillo, Maurice",11862573X,St. Pierre de Montmartre,,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1956,400 x 300,320 x 243,,3.- DM (BRD),"Bauliche Motive, Kirchen, Kapellen",,Autotypie,!041205650!,41437233,,,,
Kbl 1960 A 66,"Gogh, Vincent van",118540416,Fischerboote am Strand von St. Maries,,Sechsfarb. Autotypie,Stuttgart,Schuler,1959,340 x 355,205 x 255,"Juwelblatt. Nr 031,6",3,Gegenständliches,,Autotypie,,41437233,,,,
Kbl 1960 A 67,"Gogh, Vincent van",118540416,Der Sämann,,Sechsfarb. Autotypie,Stuttgart,Schuler,1959,330 x 355,200 x 255,"[Juwelblatt, Nr 031,4]",3.- DM (BRD),Ständebilder ; Bauer,,Autotypie,!041228839!,41437233,,,,
Kbl 1960 A 68,"Heckel, Erich",118547488,Schleswig-Holsteinische Landschaft,,Vierfarb. Autotypie,Stuttgart,Schuler,1959,340 x 350,220 x 260,"Juwelblatt, Nr 041,7",3.- DM (BRD),"Flachland, Bezeichnete Landschaften",,Autotypie,!962679267!,41437233,,,,
Kbl 1960 A 69,"Brauer, Johannes",11867336X,Faltenhornvogel,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verl.,1960,330 x 230,145 x 95,,"12,50","Tierbilder, Vögel",Best.Nr 72,Radierung,!041218787!,40481662,,,,
Kbl 1960 A 7,"Gruner, Erich",119252686,In memoriam 1958,Landschaft mit Sturz des Mondliegers,Orig.-Radierung,"Leipzig N 22, Hoeppnerstr. 20",Gruner,1958,170 x 215,60 x 85,,20,"Vermischte Motive, 2. Radierungen, Kupfer- und Stahlstiche",III F. 63,Radierung,,40481662,,,,
Kbl 1960 A 70,"Orplid, Vera",,Spanische Tänzerin,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,385 x 255,180 x 125,,20.- DM (DDR),Tänzerin,,Radierung,!943261732!,40481662,,,,
Kbl 1960 A 71,"Abdullajew, Michail Hussejn-Ogly",,Die Erbauer des Glücks,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,215 x 300,180 x 235,,"1,50 DM (DDR)",Ständebilder ; Arbeiter,,Autotypie,!041320115!,41437233,,,,
Kbl 1960 A 73,"Abdullajew, Michail Hussejn-Ogly",,Bengalische Mädchen,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,230 x 180,,"1,50 DM (DDR)",Landschaftlich gebundene Bildnisse,,Autotypie,!04114354X!,41437233,,,,
Kbl 1960 A 74,"Abdullajew, Michail Hussejn-Ogly",,Stillende Mutter,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,215 x 300,180 x 195,,"1,50 DM (DDR)","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1960 A 75,"Abdullajew, Michail Hussejn-Ogly",,Studentin aus Kalkutta,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,180 x 210,,"1,50 DM (DDR)",Mädchenbilder,,Autotypie,!042497426!,41437233,,,,
Kbl 1960 A 76,"Abdullajew, Michail Hussejn-Ogly",,Tempel in Singapore,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,160 x 240,,"1,50 DM (DDR)","Bauliche Motive, Kirchen, Kapellen",,Autotypie,!041205650!,41437233,,,,
Kbl 1960 A 77,"Abdullajew, Michail Hussejn-Ogly",,Die kleine Tschandra,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,215 x 180,,"1,50 DM (DDR)",Mädchenbilder,,Autotypie,!042497426!,41437233,,,,
Kbl 1960 A 78,"Abdullajew, Michail Hussejn-Ogly",,An den Ufern der Kura,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,215 x 300,180 x 230,,"1,50","Bezeichnete Motive, Fluß und Bachmotive",Kbl[Nr] 12031,Autotypie,!041548930!,41437233,,,,
Kbl 1960 A 79,"Batoni, Pompeo",119024098,Vermählung Amors,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,178 x 252,,"1,50 DM (DDR)",Mythologie u. Sage,,Autotypie,!042027675!,41437233,,,,
Kbl 1960 A 80,"Bergander, Rudolf",118655922,Maurerlehrling,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 220,240 x 170,,"1,50 DM (DDR)",Ständebilder,,Autotypie,,41437233,,,,
Kbl 1960 A 81,"Carriera, Rosalba",11865330X,Der Mohr,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,220 x 180,,"1,50 DM (DDR)",Männerbilder,,Autotypie,!041237099!,41437233,,,,
Kbl 1960 A 82,"Dejneka, Alexander Alexandrowitsch",118524380,Am Meer,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,158 x 240,,"1,50 DM (DDR)",Ständebilder ; Fischer,,Autotypie,!04154465X!,41437233,,,,
Kbl 1960 A 83,"Dejneka, Alexander Alexandrowitsch",118524380,Mutter,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,180 x 240,,"1,50 DM (DDR)","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1960 A 84,"Dejneka, Alexander Alexandrowitsch",118524380,Künftige Piloten,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,217 x 300,180 x 220,,"1,50 DM (DDR)",Knabenbilder,,Autotypie,!042043026!,41437233,,,,
Kbl 1960 A 86,"Felixmüller, Conrad",118532391,Musizierende Knaben,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,220 x 300,167 x 240,,"1,50 DM (DDR)",Knabenbilder,,Autotypie,!042043026!,41437233,,,,
Kbl 1960 A 87,"Felixmüller, Conrad",118532391,Mädchen mit Ziegen,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,220 x 300,178 x 240,,"1,50 DM (DDR)",Mädchenbilder,,Autotypie,!042497426!,41437233,,,,
Kbl 1960 A 88,"Felixmüller, Conrad",118532391,Der Zeitungsjunge,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,240 x 170,,"1,50 DM (DDR)",Knabenbilder,,Autotypie,!042043026!,41437233,,,,
Kbl 1960 A 9,"Gruner, Erich",119252686,In memoriam 1959,Die Botin des Friedens vor verschlossenem Tor,Orig.-Radierung,"Leipzig N 22, Hoeppnerstr. 20",Gruner,1959,150 x 210,63 x 85,,20,"Vermischte Motive, 2. Radierungen, Kupfer- und Stahlstiche",III F. 65,Radierung,,40481662,,,,
Kbl 1960 A 90,"Gerlach, Erich",174211570,Am Morgen,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,220 x 300,180 x 227,,"1,50 DM (DDR)",Kinderbilder,,Autotypie,!041141709!,41437233,,,,
Kbl 1960 A 91,"Giusti, Guiseppe",,Colombine,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,308 x 217,290 x 150,,"1,50 DM (DDR)",Ständebilder ; Schauspieler*in,,Autotypie,!041794400!,41437233,,,,
Kbl 1960 A 92,"Glaser, Frank",118695231,Hilfe bei der Hochwasserkatastrophe,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,220 x 300,160 x 230,,"1,50",Figurenbild,,Autotypie,,41437233,,,,
Kbl 1960 A 93,"Grützner, Eduard von",119119110,Der Zecher,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,225 x 178,,"1,50 DM (DDR)",Einzelne Personen,,Autotypie,,41437233,,,,
Kbl 1960 A 94,"Hegenbarth, Josef",118547755,In der Manege,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 220,203 x 170,,"1,50 DM (DDR)",Verschiedenes,,Autotypie,,41437233,,,,
Kbl 1960 A 95,"Heller, Bert",118710133,Porträt Prof. Dr. Dr. Theodor Brugsch,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 220,240 x 165,,"1,50 DM (DDR)",Benannte Bildnisse ; B,,Autotypie,,41437233,,,,
Kbl 1960 A 96,"Jefanow, Wassilij Prokofjewitsch",,Porträt des Künstlers A. A. Michailow,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 218,240 x 162,,"1,50 DM (DDR)",Benannte Bildnisse ; M,,Autotypie,,41437233,,,,
Kbl 1960 A 97,"Jefanow, Wassilij Prokofjewitsch",,Porträt der Mutter,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,235 x 150,,"1,50 DM (DDR)","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1960 A 98,"Kretzschmar, Bernhard",118715925,Blick auf Stalinstadt,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,220 x 300,160 x 240,,"1,50",,Kbl[Nr] 12013,Autotypie,,41437233,,,,
Kbl 1960 A 99,"Lachnit, Wilhelm",118725823,Iris,,Mehrfarb. Autotypie,Leipzig,Seemann,1960,300 x 217,240 x 165,,"1,50","Blumenbilder, Heckenrosen",,Autotypie,!965367762!,41437233,,,,
Kbl 1960 A47,"Gauguin, Paul",118537822,Frauen mit Mangoblüten,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1957,340 x 260,260 x 203,,2.- DM (BRD),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1960 B 10,"Majewicz, G[eorgi]",,Der König der Wälder,,Mehrfarb. Offsetdruck,Eßlingen a. N.,Fingerle & Co,1959,410 x 285,310 x 250,,3,"Tierbilder, Rotwild, Hirsche",[Best.Nr] 2526,Offsetdruck,!041931025!,41333357,,,,
Kbl 1960 B 11,"Majewicz, G[eorgi]",,Der König der Wälder,,Mehrfarb. Offsetdruck,Eßlingen a. N.,Fingerle & Co,1959,500 x 410,415 x 345,,5,"Tierbilder, Rotwild, Hirsche",[Best.Nr] 3262,Offsetdruck,!041931025!,41333357,,,,
Kbl 1960 B 12,Gentileschi,,Die Lautenspielerin,,Mehrfarb. Autotypien,Esslingen a. N.,Fingerle & Co.,1957,450 x 320,320 x 240,,3.- DM,Musiziernde,,Autotypie,!042336759!,41437233,,,,
Kbl 1960 B 13,"Betz, Andreas",,Ligurische Küste,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,te Neues & Co,1960,405 x 505,305 x 405,,"7,50",Strand,Nr 175,Offsetdruck,!953311945!,41333357,,,,
Kbl 1960 B 14,"Erbslöh, Adolf",118530712,Oberbayerische Berglandschaft,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,te Neues & Co,1960,405 x 505,305 x 405,,"7,59","Gebirgs- u. Hügellandschaft, Bezeichnete Motive",Nr 178,Offsetdruck,!041561457!,41333357,,,,
Kbl 1960 B 15,"Tacke, Eb[erhard]",142824623,Propst Heinrich Grüber,,Orig.-Radierung,"[Berlin N 54, Wilhelm-Pieck-Str. 43]",E. Tacke,1960,490 x 390,310 x 240,,15.- DM,Benannte Bildnisse ; G,,Radierung,,40481662,,,,
Kbl 1960 B 16,"Brauer, Johannes",11867336X,Krieg,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1960,425 x 300,260 x 180,,18.- DM (DDR),Ideenmalerei,,Holzschnitt,,40257363,,,,
Kbl 1960 B 17,"Brauer, Johannes",11867336X,Mantelpaviane,,Orig.-Radierung,Leipzig,Scholle-Verl.,1960,375 x 500,215 x 240,,15,"Tierbilder, Affen",Best.-Nr 173,Radierung,!042174120!,40481662,,,,
Kbl 1960 B 18,"Brauer, Johannes",11867336X,Trottel (Hund),,Orig.-Radierung,Leipzig,Scholle-Verl.,1960,465 x 330,210 x 135,,12,"Tierbilder, Hunde",Best.Nr 167,Radierung,!041204662!,40481662,,,,
Kbl 1960 B 19,"Brauer, Johannes",11867336X,Arbeit an der Gicht,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,500 x 355,290 x 215,,30.- DM (DDR),Industrie,,Radierung,!041616022!,40481662,,,,
Kbl 1960 B 2,"Tacke, Eb[erhard]",142824623,Maria,,Orig.-Radierung,"[Berlin N 54, Wilhelm-Pieck-Str. 43]",E. Tacke,1960,410 x 300,260 x 170,,10.- DM,Marienbilder,,Radierung,,40481662,,,,
Kbl 1960 B 20,"Brauer, Johannes",11867336X,Frau im Pelz,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,420 x 300,245 x 160,,18.- DM (DDR),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Radierung,!041207785!,40481662,,,,
Kbl 1960 B 21,"Brauer, Johannes",11867336X,Moderne Kunst,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1960,470 x 325,245 x 180,,20.- DM (DDR),Ideenmalerei,,Radierung,,40481662,,,,
Kbl 1960 B 22,"Orplid, Vera",,Schwerttanz,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,470 x 325,200 x 150,,15.- DM (DDR),Tänzerin,,Radierung,!943261732!,40481662,,,,
Kbl 1960 B 24,"Sprick, Richard",189549580,Auf Mallorca,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,Dr. te Neues & Co,1960,410 x 505,305 x 405,,"7,50","Inseln, Halbinseln",Nr 179,Offsetdruck,!041618513!,41333357,,,,
Kbl 1960 B 26,"Marc, Franz",11857745X,Der blaue Fuchs,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,Dr. te Neues & Co,1960,420 x 505,315 x 405,,"7,50","Tierbilder, Fuchs",Nr 177,Offsetdruck,!041555619!,41333357,,,,
Kbl 1960 B 27,"Brauer, Johannes",11867336X,Brandung,,Orig.-Radierung,Leipzig,Scholle-Verl.,1960,300 x 420,175 x 245,,30,Strand,Best.Nr 483,Radierung,!953311945!,40481662,,,,
Kbl 1960 B 28,"Brauer, Johannes",11867336X,Meine Frau,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,420 x 300,245 x 175,,30.- DM (DDR),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Radierung,!041207785!,40481662,,,,
Kbl 1960 B 29,"Brauer, Johannes",11867336X,Dame in Pelz,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,420 x 300,245 x 162,,30.- DM (DDR),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Radierung,!041207785!,40481662,,,,
Kbl 1960 B 3,"Pohl, W[erner]",,Seeblick,,Mehrfarb. Orig.-Radierung,Berlin,Lindner,1959,300 x 415,195 x 240,,"13,50",Anonyme Motive,,Radierung,,40481662,,,,
Kbl 1960 B 30,"Brauer, Johannes",11867336X,Brandung (Steinküste),,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verl.,1960,300 x 420,125 x 180,,30,Strand,Best.Nr 507,Radierung,!953311945!,40481662,,,,
Kbl 1960 B 31,"Brauer, Johannes",11867336X,Fischerkähne bei Koserow,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verl.,1960,300 x 420,175 x 245,,30,"Meer, Bezeichnete Motive",Best.Nr 474,Radierung,!041692357!,40481662,,,,
Kbl 1960 B 32,"Brauer, Johannes",11867336X,Radrennfahrer,,Orig.-Radierung,Leipzig,Scholle-Verlag,1960,420 x 300,180 x 125,,12.- DM (DDR),Sport,,Radierung,!041242378!,40481662,,,,
Kbl 1960 B 33,"Brauer, Johannes",11867336X,Voralpen,,Orig.-Kupfertsich,Leipzig,Scholle-Verl.,1960,300 x 420,180 x 245,,40,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",Best.Nr 517,Kupferstich,!041561457!,04033760X,,,,
Kbl 1960 B 34,"Tacke, Eb[erhard]",142824625,"St. Marien, Berlin",,Orig.-Radierung,"[Berlin N 54, Wilhelm-Pieck-Str. 43]",E. Tacke,1960,480 x 310,360 x 210,,25.- DM,"Bauliche Motive, Kirchen, Kapellen",,Radierung,!041205650!,40481662,,,,
Kbl 1960 B 35,"Augst, Gerhard",140868410,Karl Liebknecht,,Offsetdruck nach einer Kohlezeichnung,Dresden,Verlag der Kunst,1955,500 x 400,,,"1,70 DM (DDR)",Benannte Bildnisse ; L,,Offsetdruck,,41333357,,,,
Kbl 1960 B 36,"Augst, Gerhard",140868410,Karl Marx,,Offsetdruck nach einer Kohlezeichnung,Dresden,Verlag der Kunst,1955,500 x 400,,,"1,70 DM (DDR)",Benannte Bildnisse ; M,,Offsetdruck,,41333357,,,,
Kbl 1960 B 37,"[Grimm, Ludwig]",118697781,[Heinrich Heine],,Heliogravüre,[Dresden],[Verlag der Kunst],1953,425 x 305,270 x 217,,"7,50 DM (DDR)",Benannte Bildnisse ; H,,Gravüre,,41581202,,,,
Kbl 1960 B 38,"Grünewald, Matthias",118542907,Madonna der Verkündigung,,Lichtdruck nach e. lavierten Kreidezeichng.,Dresden,Verlag der Kunst,1953,485 x 400,200 x 210,,"4,50 DM (DDR)",Marienbilder,,Lichtdruck,,42736064,,,,
Kbl 1960 B 39,"Haußmann, Elias Gottlieb",118547216,Johann Sebastian Bach,,Lichtdruck,Dresden,Verlag der Kunst,1950,500 x 400,350 x 260,,"5,50 DM (DDR)",Benannte Bildnisse ; B,,Lichtdruck,,42736064,,,,
Kbl 1960 B 4,"Pohl, W[erner]",,Waldinneres,,Mehrfarb. Orig.-Radierung,Berlin,Lindner,1959,415 x 300,245 x 200,,"13,50",Anonyme Motive,,Radierung,,40481662,,,,
Kbl 1960 B 40,"Menzel, Adolph von",118580914,Frauenkirche in Dresden,,Lichtdruck,Dresden,Verlag der Kunst,1953,500 x 397,320 x 235,,"8,50 DM (DDR)","Bauliche Motive, Kirchen, Kapellen",,Lichtdruck,!041205650!,42736064,,,,
Kbl 1960 B 41,"Preller, Friedrich",,Alte Eiche auf Rügen,,Heliogravüre nach e. Radierung,Dresden,Verlag der Kunst,1953,305 x 425,200 x 240,,"7,30 DM (DDR)","Bäume und Sträucher, Eiche",Baum,Heliogravüre,!956294219!,,,,,
Kbl 1960 B 42,"Prorokow, G. [vielm. Boris] I[wanowitsch]",,Volksredner,,Lichtdruck nach einer Lithographie,Weimar,"Thür. Volksverlag, [Abt.] Grafik-Verlag, [jetzt: Dresden: Verlag der Kunst]",1950,352 x 485,233 x 373,,"1,25 DM (DDR)",Männerbilder,,Lichtdruck,!041237099!,42736064,,,,
Kbl 1960 B 45,"Kaumann, Hans",,Brunnen in Rothenburg,,Orig.-Radierung,[Hamburg],[Commeter],1958,460 x 400,275 x 205,,20.- DM (DDR),"Bauliche Motive, Brunnen",Städte,Radierung,!041229665!,40481662,,,,
Kbl 1960 B 46,"Kaumann, Hans",,Plönlein,,Orig.-Radierung,[Hamburg],[Commeter],1958,380 x 530,265 x 315,,20.- DM (BRD),"Anonyme Motive, Tore",,Radierung,!949894613!,40481662,,,,
Kbl 1960 B 47,"Kaumann, Hans",,Röderbogen [Rothenburg ob der Tauber],,Orig.-Radierung,[Hamburg],[Commeter],1958,530 x 375,290 x 265,,20.- DM (BRD),"Anonyme Motive, Tore",,Radierung,!949894613!,40481662,,,,
Kbl 1960 B 48,"Bauer, Karl",121087069X,Friedrich d. Gr.,,Orig.-Radierung,[Hamburg],[Commeter],1958,535 x 380,315 x 240,,20.- DM (BRD),Benannte Bildnisse ; F,,Radierung,,40481662,,,,
Kbl 1960 B 49,"Bauer, Karl",121087069X,Bismarck,,Orig.-Radierung,[Hamburg],[Commeter],1958,535 x 375,280 x 240,,20.- DM (BRD),Benannte Bildnisse ; B,,Radierung,,40481662,,,,
Kbl 1960 B 5,"Pohl, W[erner]",,Waldsee,,Mehrfarb. Orig.-Radierung,Berlin,Lindner,1959,300 x 415,195 x 245,,"13,50",Anonyme Motive,,Radierung,,40481662,,,,
Kbl 1960 B 50,"Bauer, Karl",121087069X,"Goethe, 60jährig",,Orig.-Radierung,[Hamburg],[Commeter],1958,535 x 375,300 x 225,,20.- DM (BRD),Benannte Bildnisse ; G,,Radierung,,40481662,,,,
Kbl 1960 B 51,"Bauer, Karl",121087069X,Beethoven,,Orig.-Radierung,[Hamburg],[Commeter],1958,500 x 340,275 x 205,,20.- DM (BRD),Benannte Bildnisse ; B,,Radierung,,40481662,,,,
Kbl 1960 B 52,"Bauer, Karl",121087069X,Goethe als Denker,,Orig.-Radierung,[Hamburg],[Commeter],1958,500 x 375,320 x 250,,20.- DM (BRD),Benannte Bildnisse ; G,,Radierung,,40481662,,,,
Kbl 1960 B 53,"Bauer, Karl",121087069X,Geoethe und Beethoven in Teplitz,,Orig.-Radierung,[Hamburg],[Commeter],1958,365 x 460,225 x 297,,20.- DM (BRD),Benannte Bildnisse ; B,,Radierung,,40481662,,,,
Kbl 1960 B 54,"Bauer, Karl",121087069X,Brahms,,Orig.-Radierung,[Hamburg],[Commeter],1958,450 x 350,280 x 200,,20.- DM (BRD),Benannte Bildnisse ; B,,Radierung,,40481662,,,,
Kbl 1960 B 55,"Augst, Gerhard",140868410,Ernst Thälmann,,Lichtdruck nach e. Kohlezeichnung,Dresden,Verlag d. Kunst,1960,500 x 400,,,"1,70","Bildnisse, benannt (Fort.)",W 6310,Lichtdruck,,42736064,,,,
Kbl 1960 B 57,"Koch, Rudolf",121928845,"In der Welt habt ihr Angst … [Schriftblatt], in Holz geschnitten von Max Dorn",,Novografie,[Offenbach a. M.],Klingspor-Museum,1960,450 x 340,,Schriftblätter d. Klingspor-Museums. 1,,Schriftblätter,"in 300 num. Ex., nicht im Handel",,,,,,,
Kbl 1960 B 58,"Freudenberger, S[igmund]",123345537,La Dévideuse,,Mehrfarb. Kupfertiefdruck,Bern,Büchler,1958,410 x 310,210 x 150,,,Ständebilder ; Spinnerin,,Tiefdruck,!953265625!,04060053X,,,,
Kbl 1960 B 59,"Lauterburg, Martin",11872679X,Kohlenmänner,,Kupfertiefdruck,Bern,Büchler,1958,410 x 310,230 x 140,,,Ständebilder ; Arbeiter,,Tiefdruck,!041320115!,04060053X,,,,
Kbl 1960 B 6,"Freund, R[obert]",141206020,Fische,,Mehrfarb. Offsetdruck,Frankfurt a. M.,Stengel,1957,400 x 500,275 x 380,,"12,50","Tierbilder, Fische",[Nr] 10042,Offsetdruck,!041544617!,41333357,,,,
Kbl 1960 B 60,"Bergander, Rudolf",118655922,Auf Stelzen,,Lichtdruck,[Dresden],[Verlag der Kunst],1960,500 x 320,395 x 250,,"4,50 DM (DDR)",Kinderbilder,,Lichtdruck,!041141709!,42736064,,,,
Kbl 1960 B 61,"Wittdorf, Jürgen",127068988,Elefantenmutter mit Jungem,"Aus d. Zyklus ""Tiermütter""",Lichtdruck,Dresden,Verl. d. Kunst,1960,420 x 480,,,"4,50","Tierbilder, Elefant",W 3145,Lichtdruck,!041964187!,42736064,,,,
Kbl 1960 B 62,"Wittdorf, Jürgen",127068988,Kamelmutter mit Jungem,"Aus d. Zyklus ""Tiermütter""",Lichtdruck,Dresden,Verl. d. Kunst,1960,420 x 480,,,"4,50","Tierbilder, Kamel",W 3146,Lichtdruck,!962375055!,42736064,,,,
Kbl 1960 B 63,"Brauer, Johannes",11867336X,Balzender Auerhahn,,Orig.-Radierung,Leipzig,Scholle-Verl.,1960,420 x 300,235 x 155,,15,"Tierbilder, Vögel",Best.Nr 149,Radierung,!041218787!,40481662,,,,
Kbl 1960 B 65,"Brauer, Johannes",11867336X,Leo Tolstoi,,Orig.-Radierung,Leipzig,Scholle-Verl.,1960,470 x 325,180 x 125,,25,"Bildnisse, benannt (Fort.)",Best.Nr. 409,Radierung,,40481662,,,,
Kbl 1960 B 66,"Brauer, Johannes",11867336X,Feldstrauß,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verl.,1960,420 x 295,245 x 175,,40,"Blumenbilder, Christrosen",Best.Nr 528,Radierung,!041127943!,40481662,,,,
Kbl 1960 B 69,"Brauer, Johannes",11867336X,Dame in Pelz,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1960,420 x 300,245 x 162,,30.- DM (DDR),"Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Radierung,!041207785!,40481662,,,,
